,link,image,item
1,https://www.minted.com//product/wall-art-prints/MIN-QI3-GOA/take-a-break,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16705&mntd_prf=OldCategory:Product,0art.jpg
2,https://www.minted.com//product/wall-art-prints/MIN-I1K-GNA/hard-soft,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/8FY/MIN-8FY-GNA-002A_A_PD.jpg?_=16705&mntd_prf=OldCategory:Product,1art.jpg
3,https://www.minted.com//product/wall-art-prints/MIN-BTP-GNA/movement,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/BTL/MIN-BTL-GNA-002A_A_PD.jpg?_=16705&mntd_prf=OldCategory:Product,2art.jpg
4,https://www.minted.com//product/wall-art-prints/MIN-0T5-GNA/the-bigger-picture,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/0SZ/MIN-0SZ-GNA-002A_A_PD.jpg?_=16705&,3art.jpg
5,https://www.minted.com//product/wall-art-prints/MIN-DJT-GNA/last-tuesday,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/DJN/MIN-DJN-GNA-002A_A_PD.jpg?_=16705&,4art.jpg
6,https://www.minted.com//product/wall-art-prints/MIN-NES-GNA/history-repeats,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/FOL/MIN-FOL-GNA-002A_A_PD.jpg?_=16705&,5art.jpg
7,https://www.minted.com//product/wall-art-prints/MIN-I89-GNA/squiggles,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/I85/MIN-I85-GNA-002A_A_PD.jpg?_=16705&,6art.jpg
8,https://www.minted.com//product/wall-art-prints/MIN-FWB-GNA/geo-abstract,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/4TH/MIN-4TH-GNA-002A_A_PD.jpg?_=16705&,7art.jpg
9,https://www.minted.com//product/wall-art-prints/MIN-LY4-GNA/it-caused-a-ripple,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/7V4/MIN-7V4-GNA-002A_A_PD.jpg?_=16705&,8art.jpg
10,https://www.minted.com//product/wall-art-prints/MIN-WQK-GNA/two-sisters,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/C4Z/MIN-C4Z-GNA-002A_A_PD.jpg?_=16705&,9art.jpg
11,https://www.minted.com//product/wall-art-prints/MIN-C2E-GNA/reaching-sky,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/C2E/MIN-C2E-GNA-002A_A_PD.jpg?_=16705&,10art.jpg
12,https://www.minted.com//product/wall-art-prints/MIN-GPS-GNA/tomah,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/GPM/MIN-GPM-GNA-002A_A_PD.jpg?_=16705&,11art.jpg
13,https://www.minted.com//product/wall-art-prints/MIN-V9I-GNA/otonio,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/V9E/MIN-V9E-GNA-002A_A_PD.jpg?_=16705&,12art.jpg
14,https://www.minted.com//product/wall-art-prints/MIN-62A-GNA/moonlight-seascape,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/4H8/MIN-4H8-GNA-002A_A_PD.jpg?_=16705&,13art.jpg
15,https://www.minted.com//product/wall-art-prints/MIN-0B3-GOA/desert-super-moon,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/0AZ/MIN-0AZ-GOA-002A_A_PD.jpg?_=16705&,14art.jpg
16,https://www.minted.com//product/wall-art-prints/MIN-G3R-GNA/sacred-beginning-no-1,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/DYM/MIN-DYM-GNA-002A_A_PD.jpg?_=16705&,15art.jpg
17,https://www.minted.com//product/wall-art-prints/MIN-03R-GNA/sacred-beginning-no-2,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/03M/MIN-03M-GNA-002A_A_PD.jpg?_=16705&,16art.jpg
18,https://www.minted.com//product/wall-art-prints/MIN-QL4-GNA/rectangle-with-me,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/BO8/MIN-BO8-GNA-002A_A_PD.jpg?_=16705&,17art.jpg
19,https://www.minted.com//product/wall-art-prints/MIN-WNZ-GNA/calm-forest-no18,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/8SH/MIN-8SH-GNA-002A_A_PD.jpg?_=16705&,18art.jpg
20,https://www.minted.com//product/wall-art-prints/MIN-NF6-GNA/calm-forest-no-20,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/E74/MIN-E74-GNA-002A_A_PD.jpg?_=16705&,19art.jpg
21,https://www.minted.com//product/wall-art-prints/MIN-0PR-GNA/days-in-paris,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/0PN/MIN-0PN-GNA-002A_A_PD.jpg?_=16705&,20art.jpg
22,https://www.minted.com//product/wall-art-prints/MIN-I9Y-GNA/following-the-pack,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/ED9/MIN-ED9-GNA-002A_A_PD.jpg?_=16705&,21art.jpg
23,https://www.minted.com//product/wall-art-prints/MIN-N5P-GNA/the-pacific,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/N5L/MIN-N5L-GNA-002A_A_PD.jpg?_=16705&,22art.jpg
24,https://www.minted.com//product/wall-art-prints/MIN-A64-GNA/news-flash,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/A5Y/MIN-A5Y-GNA-002A_A_PD.jpg?_=16705&,23art.jpg
25,https://www.minted.com//product/wall-art-prints/MIN-QJ5-GOA/dippin-in,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QIZ/MIN-QIZ-GOA-002A_A_PD.jpg?_=16705&,24art.jpg
26,https://www.minted.com//product/wall-art-prints/MIN-QJL-GOA/rising-sun,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QJF/MIN-QJF-GOA-002A_A_PD.jpg?_=16705&,25art.jpg
27,https://www.minted.com//product/wall-art-prints/MIN-WQ8-GNA/domino-effect,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/WQ2/MIN-WQ2-GNA-002A_A_PD.jpg?_=16705&,26art.jpg
